Service,Country,Position,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
Amazon,Colombia,3|0.163,3,3109,0.163000,45.64,68.46
Amazon,Colombia,3|0.107,3,3160,0.107000,29.96,44.94
Amazon,Colombia,3|0.118,3,3193,0.118000,33.04,49.56
Amazon,Colombia,1|0.084,1,3243,0.084000,23.52,35.28
Amazon,Colombia,2|0.054,2,3253,0.054000,15.12,22.68
Amazon,Colombia,2|0.106,2,3288,0.106000,29.68,44.52
Amazon,Paraguay,3|0.094,3,"2266,3182",0.094000,26.32,39.48
Amazon,Paraguay,3|0.152,3,"2750,3160,3309,3370,3371,3393,3418",0.152000,42.56,63.84
Amazon,Paraguay,3|0.099,3,3001,0.099000,27.72,41.58
Amazon,Paraguay,3|0.118,3,3193,0.118000,33.04,49.56
Amazon,Paraguay,3|0.119,3,3335,0.119000,33.32,49.98
Amazon,Turkey,3|0.094,3,"2266,3182",0.094000,26.32,39.48
Amazon,Turkey,3|0.104,3,"2750,3160,3193,3309,3329,3370,3371,3393,3406",0.104000,29.12,43.68
Amazon,Turkey,3|0.099,3,3001,0.099000,27.72,41.58
Amazon,Kyrgyzstan,3|0.502,3,"2579,2750,3309,3330,3370,3393",0.502000,140.56,175.70
Amazon,Kyrgyzstan,3|0.099,3,3001,0.099000,27.72,41.58
Amazon,Kyrgyzstan,3|0.094,3,3182,0.094000,26.32,39.48
Amazon,Kyrgyzstan,3|0.118,3,3193,0.118000,33.04,49.56
Amazon,Kyrgyzstan,3|0.07,3,3371,0.070000,19.60,29.40
Amazon,Jordan,3|0.094,3,"2266,3182",0.094000,26.32,39.48
Amazon,Jordan,3|0.203,3,"2579,3168,3309,3370,3371,3393",0.203000,56.84,79.58
Amazon,Jordan,3|0.099,3,3001,0.099000,27.72,41.58
Amazon,Jordan,3|0.118,3,3193,0.118000,33.04,49.56
Amazon,Cameroon,2|0.02,2,2263,0.020000,5.60,8.40
Amazon,Cameroon,3|0.094,3,"2266,3182",0.094000,26.32,39.48
Amazon,Cameroon,3|0.235,3,"2579,2750,3330,3370",0.235000,65.80,92.12
Amazon,Cameroon,3|0.099,3,3001,0.099000,27.72,41.58
Amazon,Cameroon,3|0.118,3,3193,0.118000,33.04,49.56
Amazon,Israel,3|1.205,3,2263,1.205000,337.40,421.75
Amazon,Israel,3|1.25,3,"2567,2579,3330,3370",1.250000,350.00,437.50
Amazon,Israel,3|1.011,3,2738,1.011000,283.08,353.85
Amazon,Israel,3|0.099,3,3001,0.099000,27.72,41.58
Amazon,Israel,3|0.01,3,3168,0.010000,2.80,4.20
Amazon,Israel,3|0.094,3,3182,0.094000,26.32,39.48
Amazon,Israel,3|0.118,3,3193,0.118000,33.04,49.56
Amazon,Israel,3|0.06,3,3335,0.060000,16.80,25.20
Amazon,Cote d`Ivoire Ivory Coast,3|0.33,3,"32,2567,2750,2840,3193,3330,3370",0.330000,92.40,129.36
Amazon,Cote d`Ivoire Ivory Coast,3|0.094,3,"2266,3182",0.094000,26.32,39.48
Amazon,Cote d`Ivoire Ivory Coast,3|0.099,3,3001,0.099000,27.72,41.58
Amazon,Cote d`Ivoire Ivory Coast,3|0.084,3,3168,0.084000,23.52,35.28
Amazon,Cote d`Ivoire Ivory Coast,3|0.131,3,3237,0.131000,36.68,55.02
Amazon,Belarus,3|0.094,3,"2266,3182",0.094000,26.32,39.48
Amazon,Belarus,3|0.252,3,"2579,2750,3309,3330,3370,3371,3393",0.252000,70.56,98.78
Amazon,Belarus,3|0.099,3,3001,0.099000,27.72,41.58
Amazon,Belarus,3|0.084,3,3168,0.084000,23.52,35.28
Amazon,Belarus,3|0.22,3,3328,0.220000,61.60,86.24
